"","date","cause","source","location","substance","volume","year_quarter"
"154","2/1/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"155","10/28/2006","Equipment Failure","well","MEDICINE HAT","water",1,4
"156","3/6/2005","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
"157","10/18/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"158","2/25/2011","Equipment Failure","well","MEDICINE HAT","water",1,1
"159","11/30/2007","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"160","11/25/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"161","9/5/2003","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"162","9/7/2003","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"163","12/24/2008","Equipment Failure","battery","MEDICINE HAT","oil",1,4
"164","5/23/2011","Equipment Failure","battery","MEDICINE HAT","oil",1,2
"165","6/24/2003","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"166","1/22/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"167","10/8/2004","Equipment Failure","pipeline","MEDICINE HAT","water",2,4
"168","7/23/2003","Equipment Failure","well","MEDICINE HAT","water",2,3
"169","8/22/2009","Equipment Failure","well","MEDICINE HAT","oil",1,3
"170","10/15/2004","Operator Error","pipeline","MEDICINE HAT","oil",1,4
"171","1/19/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"172","11/30/2006","Equipment Failure","well","MEDICINE HAT","water",1,4
"173","11/6/2011","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"174","8/31/2010","Equipment Failure","pipeline","MEDICINE HAT","water",2,3
"175","8/28/2010","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"176","6/9/2004","Operator Error","well","MEDICINE HAT","oil",1,2
"177","1/30/2005","Equipment Failure","well","MEDICINE HAT","water",1,1
"178","8/27/2012","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"179","2/2/2011","Equipment Failure","battery","MEDICINE HAT","water",1,1
"180","8/17/2008","Equipment Failure","well","MEDICINE HAT","water",1,3
"181","1/21/2010","Equipment Failure","well","MEDICINE HAT","oil",1,1
"182","4/6/2010","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"183","8/11/2006","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"184","3/31/2010","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"185","2/27/2007","Operator Error","well","MEDICINE HAT","water",1,1
"186","4/24/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"187","5/11/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"188","6/27/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"189","10/19/2011","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"190","5/25/2010","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"191","9/7/2010","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"192","5/2/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"193","10/29/2007","Operator Error","well","MEDICINE HAT","water",1,4
"194","4/3/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"195","11/8/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"196","3/17/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"197","5/4/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"198","10/26/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"199","7/28/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"200","2/21/2012","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"201","11/28/2010","Operator Error","well","MEDICINE HAT","oil",2,4
"202","4/3/2003","Operator Error","well","MEDICINE HAT","oil",1,2
"203","12/16/2010","Equipment Failure","battery","MEDICINE HAT","water",2,4
"204","2/13/2011","Operator Error","battery","MEDICINE HAT","water",2,1
"205","8/28/2007","Equipment Failure","well","MEDICINE HAT","oil",1,3
"206","11/12/2003","Operator Error","well","MEDICINE HAT","oil",1,4
"207","5/16/2009","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"208","8/6/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"209","2/28/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"210","11/27/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"211","6/23/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"212","2/12/2007","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
"213","10/2/2007","Equipment Failure","well","MEDICINE HAT","water",1,4
"214","5/11/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"215","7/31/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"216","7/29/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"217","1/27/2011","Equipment Failure","well","MEDICINE HAT","water",1,1
"218","2/9/2004","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
"219","4/8/2011","Equipment Failure","well","MEDICINE HAT","oil",1,2
"220","2/13/2006","Equipment Failure","well","MEDICINE HAT","water",1,1
"221","7/26/2003","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"222","11/29/2006","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"223","2/28/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"224","12/24/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
"225","4/25/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"226","9/16/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"227","3/7/2012","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
